id_protein,feature1,feature2,feature3,feature4,feature5,feature6,feature7,class_label
P0060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class_label
P0144,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp
P0145,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp
P0146,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
P0147,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
P0148,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
P0149,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
P0150,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
P0151,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
P0152,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
P0153,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
P0154,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
P0155,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
P0156,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
P0157,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
P0158,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp
P0159,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
P0160,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
P0161,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
P0162,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
P0163,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
P0164,0.4,0.45,0.48,0.5,0.38,0.22,0.0,cp
P0165,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp
P0166,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
P0167,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp
P0168,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
P0169,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
P0170,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
P0171,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp
P0172,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
P0173,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
P0174,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
P0175,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
P0176,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
P0177,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
P0178,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
P0179,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp
P0180,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp
P0181,0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp
P0182,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
P0183,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
P0184,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
P0185,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
P0186,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
P0187,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
P0188,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
P0189,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
P0190,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
P0191,0.43,0.4,0.48,0.5,0.39,0.28,0.39,cp
P0192,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
P0193,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
P0194,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
P0195,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
P0196,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
P0197,0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp
P0198,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
P0199,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
P0200,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
P0201,0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp
P0202,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
P0203,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
P0204,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
P0205,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
P0206,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
P0207,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
P0208,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
P0209,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
P0210,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
P0211,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
P0212,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
P0213,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp
P0214,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
P0215,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
P0216,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
P0217,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
P0218,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
P0219,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
P0220,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
P0221,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
P0222,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
P0223,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
P0224,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
P0225,0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
P0226,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
P0227,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
P0228,0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
P0229,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
P0230,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
P0231,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
P0232,0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
P0233,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
P0234,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
P0235,0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
P0236,0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
P0237,0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
P0238,0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
P0239,0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
P0240,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
P0241,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
P0242,0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
P0243,0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
P0244,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
P0245,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
P0246,0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp
P0247,0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
P0248,0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
P0249,0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
P0250,0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
P0251,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
P0252,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
P0253,0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
P0254,0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
P0255,0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
P0256,0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
P0257,0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
P0258,0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
P0259,0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
P0260,0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
P0261,0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
P0262,0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
P0263,0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
P0264,0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
P0265,0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
P0266,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
P0267,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
P0268,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
P0269,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
P0270,0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
P0271,0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
P0272,0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
P0273,0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
P0274,0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
P0275,0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
P0276,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
P0277,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
P0278,0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
P0279,0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
P0280,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
P0281,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
P0282,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
P0283,0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
P0284,0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
P0285,0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
P0286,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
P0287,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
P0288,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
P0289,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
P0290,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
P0291,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
P0292,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
P0293,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
P0294,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
P0295,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
P0296,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
P0297,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
P0298,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
P0299,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
P0300,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
P0301,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
P0302,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
P0303,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
P0304,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
P0305,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
P0306,0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
P0307,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
P0308,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
P0309,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
P0310,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
P0311,0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
P0312,0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
P0313,0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
P0314,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
P0315,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
P0316,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
P0317,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
P0318,0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
P0319,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
P0320,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
P0321,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
P0322,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
P0323,0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
P0324,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
P0325,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
P0326,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
P0327,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
P0328,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
P0329,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
P0330,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
P0331,0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
P0332,0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
P0333,0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
P0334,0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
P0335,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
P0336,0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
P0337,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
P0338,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
P0339,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
P0340,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
P0341,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
P0342,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
P0343,0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
P0344,0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
P0345,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
P0346,0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
P0347,0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
P0348,0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
P0349,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
P0350,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
P0351,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
P0352,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
P0353,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
P0354,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
P0355,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
P0356,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
P0357,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
P0358,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
P0359,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
P0360,0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
P0361,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
P0362,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
P0363,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
P0364,0.6019106573934163,0.5332010208648132,0.48,0.5,0.5380893426065837,0.8059553286967082,0.8259553286967081,im
P0365,0.564598778650987,0.4787592671905921,0.6318272979702635,0.5,0.5612407328094079,0.7770802442698026,0.8,im
P0366,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
P0367,0.47382122428263623,0.43970204047106043,0.48,0.5,0.602059591905788,0.7717616323768484,0.7938212242826362,im
P0368,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
P0369,0.7166153379925864,0.46,0.48,0.5,0.5184616550185339,0.6803079720444813,0.7050769930111203,im
P0370,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
P0371,0.6283868735545994,0.4716131264454005,0.5079608583869426,0.5,0.5116131264454006,0.8173114559243324,0.8378491647394659,im
P0372,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
P0373,0.3139594064221827,0.5169797032110913,0.48,0.5,0.41476522259168147,0.6230869435207963,0.3304029080847494,im
P0374,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
P0375,0.6409292833815116,0.5347676791546222,0.48,0.5,0.5852323208453778,0.6695353583092443,0.6790707166184885,im
P0376,0.5412422127412587,0.5575778725874131,0.48,0.5,0.5612422127412587,0.806273361776224,0.8262733617762239,im
P0377,0.5404349895486352,0.5656501045136484,0.48,0.5,0.5604349895486352,0.8086950313540946,0.8286950313540945,im
P0378,0.34420664790580235,0.4524297464760304,0.48,0.5,0.3818223098570228,0.7827107605719088,0.1724297464760304,im
P0379,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
P0380,0.4513837030834253,0.4213837030834253,0.48,0.5,0.58855348123337,0.7628302218500552,0.7885534812333701,im
P0381,0.38240383368678044,0.43602564435019187,0.48,0.5,0.4709615334747122,0.8869871778249041,0.886506411087548,im
P0382,0.06268702796969748,0.6019389160909075,0.48,0.5,0.484625944060605,0.9032060751893908,0.35925188812121006,im
P0383,0.5940313153359537,0.6212189086730302,0.48,0.5,0.44631255600224595,0.87,0.88,im
P0384,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
P0385,0.6057466390658182,0.558280248407636,0.48,0.5,0.54,0.67,0.6008138577494537,im
P0386,0.09658333791164435,0.500249986265067,0.48,0.5,0.4168333241767113,0.6913541380522229,0.22366664835342262,im
